产品ID,基金名称,基金公司,FOF类型,申报日期,受理日期,获批日期,发行起始日,成立日,募集规模(亿元),托管人,备注
FOF2026041001,富国智稳6个月持有期混合型基金中基金（FOF）,富国,普通FOF,2026-04-10,,,,,,,
FOF2026040801,华泰柏瑞瑞盈积极多元配置三个月持有期混合型发起式基金中基金（ETF-FOF）,华泰柏瑞,ETF-FOF,2026-04-03,2026-04-08,,,,,,受理用时5天
FOF2026040802,英大多元进取3个月持有期混合型发起式基金中基金（ETF-FOF）,英大,ETF-FOF,2026-04-03,2026-04-08,,,,,,受理用时5天
FOF2026040803,景顺长城景盈稳健6个月持有期混合型基金中基金（FOF）,景顺长城,普通FOF,2026-04-01,2026-04-08,,,,,,受理用时7天
FOF2026040201,华夏福盈养老2040三年持有期混合型发起式基金中基金（FOF）,华夏,养老FOF,2026-03-12,2026-03-18,2026-04-02,,,,,已获批待发行
FOF2026040701,易方达安悦养老2035三年持有期混合型发起式基金中基金（FOF）,易方达,养老FOF,2026-03-05,2026-03-12,2026-03-28,2026-04-07,,,,发行中
FOF2026032301,汇添富稳进多资产三个月持有期混合型基金中基金(FOF),汇添富,普通FOF,2026-02-26,2026-03-04,2026-03-18,2026-03-20,2026-03-23,13.66,建设银行,产品1日结募
FOF2026032701,博时恒信臻选6个月持有期混合型基金中基金(FOF),博时,普通FOF,2026-02-28,2026-03-05,2026-03-19,2026-03-21,2026-03-27,12.66,中信银行,
FOF2026032401,信澳盈丰多元三个月持有期混合型基金中基金(FOF),信达澳亚,普通FOF,2026-02-24,2026-03-03,2026-03-16,2026-03-18,2026-03-24,2.72,交通银行,
FOF2026032702,国泰多资产增益先锋3个月持有期混合型发起式基金中基金(FOF),国泰,普通FOF,2026-02-25,2026-03-04,2026-03-18,2026-03-22,2026-03-27,0.10,江苏银行,
FOF2026041101,富国盈和臻选3个月持有期混合型基金中基金（FOF）,富国,普通FOF,2026-03-10,2026-03-18,2026-03-31,2026-04-11,,,,发行中
FOF2026033101,国泰安盈养老2050五年持有期混合型发起式基金中基金（FOF）,国泰,养老FOF,2026-03-20,2026-03-31,,,,,,受理后补材料
FOF2026040901,易方达智远稳健6个月持有期混合型基金中基金（FOF）,易方达,普通FOF,2026-04-09,,,,,,,
FOF2026040101,华夏聚盈优选三个月持有混合型基金中基金（FOF）,华夏,普通FOF,2026-03-02,2026-03-09,2026-03-25,2026-04-01,,,,发行启动
FOF2026040902,富国智策养老2045三年持有期混合型基金中基金（FOF）,富国,养老FOF,2026-04-02,2026-04-09,,,,,,新受理养老FOF
FOF2026031901,南方稳享添利养老目标一年持有期混合型基金中基金（FOF）,南方,养老FOF,2026-02-20,2026-02-27,2026-03-10,2026-03-13,2026-03-19,6.80,农业银行,
FOF2026032801,招商智选多资产6个月持有期混合型基金中基金（FOF）,招商,普通FOF,2026-02-23,2026-03-02,2026-03-13,2026-03-18,2026-03-28,8.40,招商银行,
