product_id,fund_name,fund_company,fof_type,manager,is_key_company,declare_date,accept_date,approval_date,issue_start_date,establish_date,raise_scale,custodian,current_stage,days_in_stage,latest_event_date,remarks,declare_to_accept_days,accept_to_approval_days,approval_to_issue_days,issue_to_establish_days,launch_channels,channel_status,holder_structure_view,underlying_preference,underlying_pool_action,intelligence_level,intel_last_update,intel_note,batch_week_label,batch_peer_count,batch_role,batch_companies,holding_bucket,risk_bucket,strategy_segment_key,strategy_segment_label,strategy_tags,theme_bucket,asset_theme_tags
FOF_ba0d9ab798,中银证券慧泽9个月持有期混合型基金中基金(FOF),中银国际证券股份有限公司,普通FOF,,False,2026-04-23,,,,,,,新申报,1,2026-04-23,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,1,单独推进,中银国际证券股份有限公司,其他持有,平衡,普通FOF|平衡|其他持有|BASE|STD,普通FOF · 平衡 · 其他持有,"['普通FOF', '平衡']",,[]
FOF_03270355a8,中银证券慧颐稳健养老目标一年持有期混合型发起式基金中基金(FOF),中银国际证券股份有限公司,养老FOF,,False,2026-04-23,,,,,,,新申报,1,2026-04-23,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,1,单独推进,中银国际证券股份有限公司,1年及以上,养老,养老FOF|养老|1年及以上|BASE|STD,养老FOF · 养老 · 1年及以上,"['养老FOF', '养老', '1年及以上']",,[]
FOF_67b799bb06,天弘盈沃多元配置3个月持有期混合型基金中基金(FOF),天弘,普通FOF,,False,2026-04-22,,,,,,,新申报,2,2026-04-22,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,2,同梯队,南方、天弘,3个月持有,平衡,普通FOF|平衡|3个月持有|BASE|STD,普通FOF · 平衡 · 3个月持有,"['普通FOF', '平衡', '3个月持有']",,[]
FOF_a61715caf8,易方达智选盈弘多元配置3个月持有期混合型发起式基金中基金(ETF-FOF),易方达,ETF-FOF,,True,2026-04-22,,,,,,,新申报,2,2026-04-22,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,2,同梯队,易方达、汇百川,3个月持有,平衡,ETF-FOF|平衡|3个月持有|BASE|ETF,ETF-FOF · 平衡 · 3个月持有,"['ETF-FOF', '平衡', '3个月持有']",,[]
FOF_38f22fac3f,南方稳颐3个月持有期混合型基金中基金(FOF),南方,普通FOF,,False,2026-04-21,,,,,,,新申报,3,2026-04-21,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,2,第一梯队,南方、天弘,3个月持有,平衡,普通FOF|平衡|3个月持有|BASE|STD,普通FOF · 平衡 · 3个月持有,"['普通FOF', '平衡', '3个月持有']",,[]
FOF_20c07c3a12,汇百川乾元趋势动能3个月持有期混合型发起式基金中基金(ETF-FOF),汇百川,ETF-FOF,,False,2026-04-21,,,,,,,新申报,3,2026-04-21,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,2,第一梯队,易方达、汇百川,3个月持有,平衡,ETF-FOF|平衡|3个月持有|BASE|ETF,ETF-FOF · 平衡 · 3个月持有,"['ETF-FOF', '平衡', '3个月持有']",,[]
FOF_2056af89ad,招商多元策略优选6个月持有期混合型基金中基金(FOF),招商,普通FOF,,False,2026-04-20,,,,,,,新申报,4,2026-04-20,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,2,第一梯队,招商、鹏扬,6个月持有,平衡,普通FOF|平衡|6个月持有|BASE|STD,普通FOF · 平衡 · 6个月持有,"['普通FOF', '平衡', '6个月持有']",,[]
FOF_cdc40e51e8,招商积极策略优选6个月持有期混合型基金中基金(FOF),招商,普通FOF,,False,2026-04-20,,,,,,,新申报,4,2026-04-20,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,1,单独推进,招商,6个月持有,积极,普通FOF|积极|6个月持有|BASE|STD,普通FOF · 积极 · 6个月持有,"['普通FOF', '积极', '6个月持有']",,[]
FOF_b165f6a7f1,易方达如意安悦3个月持有期混合型基金中基金（FOF）,易方达,普通FOF,刘先宇,True,2026-01-21,2026-01-28,2026-04-01,2026-04-20,,,中国民生银行,发行中,4,2026-04-20,简易程序：审核期限为20个工作日,7.0,63.0,19.0,,,,,,,,,,2026-04-20~2026-04-26,1,单独推进,易方达,3个月持有,稳健,普通FOF|稳健|3个月持有|BASE|STD,普通FOF · 稳健 · 3个月持有,"['普通FOF', '稳健', '3个月持有']",,[]
FOF_d5d6e01f1f,鹏扬多元睿盈六个月持有期混合型基金中基金(FOF),鹏扬,普通FOF,,False,2026-04-20,,,,,,,新申报,4,2026-04-20,接收材料,,,,,,,,,,,,,2026-04-20~2026-04-26,2,第一梯队,招商、鹏扬,6个月持有,平衡,普通FOF|平衡|6个月持有|BASE|STD,普通FOF · 平衡 · 6个月持有,"['普通FOF', '平衡', '6个月持有']",,[]
